Clump Interarrival,Clump Duration,Clump Size,Clump Packets,Clump Direction
0.0,0.0,108,1,-1
-0.00047894,0.00047894,348,2,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
0.0,0.0,174,1,1
0.0,0.0,108,1,-1
0.0,0.0,172,1,1
0.0,0.0,108,1,-1
0.0,0.0,177,1,1
0.0,0.0,108,1,-1
